income_group,children,filing_status,num_hh,avg_tax_change,perc_change_after_tax
<30k,0,m,4840,-3030,35.6
30k-50k,0,m,3950,-3000,7.9
50k-100k,0,m,9190,-2895,4.3
100k-200k,0,m,11100,-2690,2.2
200k-500k,0,m,5770,-690,0.3
500k+,0,m,980,-60,0
<30k,1,m,840,-6113,53.1
30k-50k,1,m,670,-5810,15.3
50k-100k,1,m,2060,-5610,8.5
100k-200k,1,m,4030,-5410,4.4
200k-500k,1,m,2610,-1480,0.7
500k+,1,m,380,0,0
<30k,2,m,810,-9627,85.6
30k-50k,2,m,760,-8765,21.8
50k-100k,2,m,2080,-8270,12.3
100k-200k,2,m,3820,-8030,6.5
200k-500k,2,m,2740,-2240,1
500k+,2,m,570,50,0
<30k,3,m,500,-14430,110.3
30k-50k,3,m,650,-13735,33.1
50k-100k,3,m,1410,-12305,18
100k-200k,3,m,2010,11300,9
200k-500k,3,m,1280,-3010,1.3
500k+,3,m,380,0,0
<30k,0,s,36250,-1623,17.1
30k-50k,0,s,16840,-1480,4.2
50k-100k,0,s,20570,-1360,2.3
100k-200k,0,s,8060,-520,0.5
200k-500k,0,s,1720,-70,0
500k+,0,s,290,-10,0
<30k,1,s,5490,-4713,37.8
30k-50k,1,s,3140,-4365,11.6
50k-100k,1,s,3820,-4255,6.7
100k-200k,1,s,1570,-3360,3.1
200k-500k,1,s,300,-560,0.3
500k+,1,s,40,10,0
<30k,2,s,3140,-8313,58.8
30k-50k,2,s,2120,-7335,18
50k-100k,2,s,2360,-6985,10.5
100k-200k,2,s,670,-5960,5.3
200k-500k,2,s,100,-900,0.4
500k+,2,s,20,55,0
<30k,3,s,790,-12897,95.7
30k-50k,3,s,650,-11330,27.2
50k-100k,3,s,750,-10865,16
100k-200k,3,s,200,-8780,7.5
200k-500k,3,s,50,-1750,0.9
500k+,3,s,30,40,0
